id	amd_status	amd_equivalent	confidence	openness	amd_fit	eco_leverage	evidence_strength	gap_title	affected	amd_action	evidence
C045	none	Genesis + open renderer covers a slice only	med	2	2	3	2	No AMD-side equivalent to Isaac Sim as an integrated platform	teams wanting one bundled authoring+physics+rendering tool	Scope whether Genesis plus an open rendering stack can be positioned as an Isaac Sim equivalent in 12 months	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-15
C048	partial	ROCm path via in-flight Warp PRs	med	3	3	3	2	Newton physics has no validated ROCm backend	Boston Dynamics, Agility, Figure AI, Toyota, Skild, Samsung (Newton adopters)	Land the Warp ROCm PRs then publish a validated Newton-on-MI300X configuration	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-1
C050	partial	AMD-authored HIP/ROCm PRs #1770/#1865	high	3	3	3	3	Warp has no merged ROCm backend; AMD PRs are in flight but unlanded	every downstream of Newton and MuJoCo-Warp	Resource PRs #1770/#1865 to completion and announce — cheapest action in the register	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-1
C051	none	rocRobo (embryonic)	med	3	3	3	2	No ROCm equivalent to cuRobo GPU motion planning	manipulation teams needing GPU-parallel collision-free planning	Identify rocRobo maintainers and roadmap; evaluate AMD sponsorship timed with the Warp PR merges	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-14
C052	none	-	med	3	2	3	2	cuMotion productized motion generation has no AMD counterpart	industrial arm integrators	Treat as downstream of the rocRobo/cuRobo decision rather than a separate build	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-14
C053	none	-	med	3	2	3	2	No AMD-accelerated MoveIt 2 motion planning node	ROS 2 manipulation stacks	Package whatever GPU planner AMD backs as a MoveIt 2 plugin, mirroring isaac_ros_cumotion	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-14
C062	none	smaller open VLAs (SmolVLA, pi0, ACT) run on ROCm	med	2	2	2	2	GR00T fine-tuning workflow is documented and supported only on NVIDIA hardware	teams standardizing on the largest open humanoid policy	Scope porting only the GR00T fine-tuning recipe, not the full Isaac Lab stack	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-22
C072	none	-	med	2	2	2	2	No AMD-side domain-randomized synthetic data generator	sim-to-real teams generating training data	Fold into the end-to-end synthetic data pipeline reference rather than building standalone	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-4
C076	none	-	med	2	2	2	2	Isaac Teleop LeRobot integration implicitly steers data collection onto NVIDIA compute	teams collecting teleop demonstrations	Document or publish a ROCm-native teleop data-collection path; the dataset format is already neutral	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-23
C122	partial	MIGraphX EP / DirectML / Vitis AI VOE	high	2	3	3	3	ONNX Runtime ROCm EP deprecated, fragmenting AMD's inference path with no recommended default	every ONNX-based robotics inference deployment on AMD	Publish an AMD-recommended inference-path decision tree before the fragmentation compounds downstream	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-16
C124	partial	ROCm nightly wheels, AMD GPU auto-detect	high	3	3	3	3	MLC-LLM has no CI publishing AMD artifacts for LeRobot VLA models	developers wanting prebuilt ACT/SmolVLA/pi0 on gfx942/gfx1100	Stand up the GitHub Actions CI and publish to mlc.ai/wheels — the vLLM CI playbook applies directly	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-9
C138	community	MJX runs on ROCm through JAX	high	3	2	2	2	No AMD GPU numbers anywhere in MJX/Warp sim-to-real benchmark literature	researchers choosing simulation hardware	Publish MJX and Warp throughput benchmarks on MI300X as a ROCm blog post	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-18
C141	community	ROCm tutorial plus a joint arXiv paper	high	3	3	3	3	AMD is technically engaged with Genesis but absent from its Robotics Partner Network	AMD's visibility to Genesis-based robot programs	Enroll in the Genesis partner network (free) and publish an Eno-on-AMD reference guide before NVIDIA moves	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-2,GAP-8
C170	community	pi0 and SmolVLA work on ROCm	high	3	3	3	3	No AMD model cards in the LeRobot hub — AMD is invisible at the developer callsite	every LeRobot developer choosing hardware	Publish model cards; this is a documentation gap, not an engineering one	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-5
C207	native	AMD first-party product	high	-	-	-	-	-	-	-	https://www.amd.com/en/products/system-on-modules/kria/k24/kd240-drives-starter-kit.html
C232	native	AMD first-party product	high	-	-	-	-	-	-	-	https://github.com/ROCm/device-metrics-exporter
C243	none	-	med	3	2	2	3	No public evidence of AMD participation in ISO TC 299 for the humanoid safety standard	AMD's future safety-certification requirements	Confirm whether any AMD employee or Alliance Partner sits on ISO TC 299; if not, nominate one — costs headcount-hours, not engineering	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-21
C251	none	-	med	3	2	2	2	No AMD equivalent to the Halos AI Systems Inspection Lab or its 40-company ecosystem	robot OEMs needing third-party AI safety inspection	Partner with an existing ANAB-accredited body (TUV SUD, exida) rather than building an inspection lab from scratch	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-20
C263	native	AMD first-party product	high	-	-	-	-	-	-	-	https://rocm.docs.amd.com/projects/install-on-linux/en/latest/install/3rd-party/pytorch-install.html
C290	none	-	high	3	3	3	3	No integrated VLA-specific safety-gated MLOps and lifecycle platform exists from any vendor	every team deploying learned policies to a real fleet	Seed an open-source robotics extension to MLflow or Kubeflow — registry, safety-gated rollback, drift detection — ROCm-default but hardware-agnostic	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-27
C291	none	-	high	3	3	3	3	No product unifies per-joint latency, Hz, VLA action-drift and model provenance for deployed fleets	fleet operators running learned policies in production	Build on ros-opentelemetry and partner with Foxglove for visualization	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-25
C292	none	-	med	3	2	2	2	No commercial fleet-scale data curation layer (dedup, quality scoring, active-learning selection)	teams with large teleop datasets and no way to triage them	Sponsor or seed an open fleet-scale curation toolchain — lower commitment than the MLOps platform	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-26
C293	none	-	high	3	3	3	3	Zero RocProfiler integration exists anywhere in the robotics or AI observability ecosystem	anyone profiling accelerator behaviour inside a ROS 2 graph	Contribute a RocProfiler-to-ROS 2 exporter to ros-opentelemetry — roughly a 4-week effort with no competing product	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-25
C294	none	-	high	3	3	3	3	Zero published VLA inference Hz benchmarks on AMD silicon; the action-expert stage is memory-bound and unmeasured	every buyer comparing edge inference hardware	Publish an official reproducible AMD VLA Hz benchmark — highest-visibility single gap-closer in L3	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-13
C295	none	Genesis, MuJoCo, Gazebo each cover a slice	med	2	2	3	2	Nothing outside Isaac Sim bundles authoring plus physics plus rendering in one platform	teams evaluating a full simulation platform rather than a library	Decide explicitly whether to assemble a bundle or stay library-first; do not drift into it	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-15
