C182	none	AMD Isolation Design Flow safety partitioning only, no motion envelope monitor	med	3	3	2	2	No formal runtime safety-envelope monitor mapped onto AMD lockstep R5F or an FPGA safety partition	Humanoid and AMR builders needing a certifiable last-line motion veto on AMD silicon	Port ad-rss-lib onto Kria Cortex-R5F lockstep and publish it as a reference safety-partition design	https://www.amd.com/en/products/adaptive-socs-and-fpgas/technologies/functional-safety.html
C183	n/a	-	high	-	-	-	-	-	-	-	https://ros.org/reps/rep-2004.html
C184	n/a	-	high	-	-	-	-	-	-	-	https://colcon.readthedocs.io/
C185	none	-	high	3	2	3	3	rosdistro carries nvidia-cuda, nvidia-cuda-dev and nvidia-cudnn keys but zero rocm, hip, hsa or amdgpu rosdep keys	Any ROS 2 package author who wants to declare a ROCm or HIP runtime dependency	Submit rosdep base.yaml keys for rocm-hip-runtime, rocm-libs and amdgpu-dkms	https://raw.githubusercontent.com/ros/rosdistro/master/rosdep/base.yaml
C186	none	Kria Robotics Stack shipped as Vitis overlays and Kria App Store images, not as released ROS debs	high	3	2	3	3	No AMD-maintained ROS 2 release pipeline or apt channel publishing ROCm-accelerated packages	ROS 2 integrators who expect apt-installable AMD accelerated nodes like the Isaac ROS apt repo	Bloom-release one AMD ROS 2 package into rosdistro to stand up the release pipeline end to end	https://raw.githubusercontent.com/ros/rosdistro/master/jazzy/distribution.yaml
C187	community	ROCm ships via apt, amdgpu-install, tarball or pip; RoboStack conda ROS runs on AMD CPUs unaccelerated	med	3	2	2	2	No ROCm packages on conda-forge, so a GPU-accelerated conda ROS 2 environment cannot be solved	Windows, macOS and HPC users who install ROS 2 through conda rather than apt	Publish ROCm runtime feedstocks to conda-forge so RoboStack environments can link HIP	https://rocm.docs.amd.com/en/latest/install/rocm.html
C188	none	Kria App Store and scattered AMD GitHub repos that sit outside the ROS index	high	3	2	3	3	Zero AMD, Xilinx, Kria or ROCm repositories appear in the ROS 2 distribution index while NVIDIA-ISAAC-ROS entries do	ROS 2 developers discovering which hardware acceleration options exist for their distro	Register Kria Robotics Stack packages in rosdistro so they surface on index.ros.org	https://raw.githubusercontent.com/ros/rosdistro/master/jazzy/distribution.yaml
C189	partial	huggingface.co/amd org with 686 mostly LLM and quantized models plus 15 non-robotics datasets	high	3	3	3	3	No AMD-published VLA policy checkpoints or LeRobot datasets despite an active and large HF org	Robot learning users looking for ROCm-validated policy weights they can pull and run	Publish ROCm-validated ACT, SmolVLA and pi0 checkpoints and one teleop dataset under huggingface.co/amd	https://huggingface.co/amd
C190	partial	QNX 8 runs on AMD x86-64 embedded, but AMD ships no Kria or Versal BSP and no safety-partitioned reference	med	1	2	3	2	No AMD analogue of the NVIDIA IGX Linux-plus-QNX hypervisor partitioned safety reference design	Humanoid and automotive integrators needing a certified RTOS partition beside AI compute	Publish a Kria or Ryzen AI Embedded reference that runs a certified RTOS partition next to the Linux AI domain	https://bananarat.com/blogs/blog/qnx-robotics-humanoid-safety-layer
C191	unknown	-	low	1	2	2	1	Unclear whether Wind River publishes a current VxWorks BSP for Kria, Versal or Ryzen Embedded	Industrial arm, aerospace and legacy controller vendors standardized on VxWorks	Confirm VxWorks BSP coverage for Kria and Ryzen Embedded and state it on the AMD partner page	https://www.strategicmarketresearch.com/market-report/functional-safety-market
C193	native	freertos10_xilinx BSP maintained in Xilinx embeddedsw for Cortex-A53, Cortex-R5F and MicroBlaze	high	-	-	-	-	-	-	-	https://github.com/Xilinx/embeddedsw/tree/master/ThirdParty/bsp/freertos10_xilinx
